job_type,average_salary
Civil Engineers,"97,380"
"Claims Adjusters, Appraisers, Examiners, and Investigators","73,320"
"Claims Adjusters, Examiners, and Investigators","73,380"
Cleaners of Vehicles and Equipment,"32,730"
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","39,130"
Clergy,"60,180"
Clinical and Counseling Psychologists,"102,740"
Clinical Laboratory Technologists and Technicians,"59,130"
Coaches and Scouts,"57,450"
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","46,440"
"Coil Winders, Tapers, and Finishers","44,850"
"Coin, Vending, and Amusement Machine Servicers and Repairers","42,500"
Commercial and Industrial Designers,"81,740"
Commercial Divers,"85,630"
Commercial Pilots,"123,250"
Communications Equipment Operators,"37,870"
"Communications Equipment Operators, All Other","50,140"
"Communications Teachers, Postsecondary","84,700"
Community and Social Service Occupations,"55,760"
"Community and Social Service Specialists, All Other","51,620"
Community Health Workers,"49,900"
Compensation and Benefits Managers,"143,140"
"Compensation, Benefits, and Job Analysis Specialists","75,920"
Compliance Officers,"76,980"
Computer and Information Analysts,"110,550"
Computer and Information Research Scientists,"155,880"
Computer and Information Systems Managers,"173,670"
Computer and Mathematical Occupations,"108,130"
Computer Hardware Engineers,"140,830"
Computer Network Architects,"129,490"
Computer Network Support Specialists,"76,060"
Computer Numerically Controlled Tool Operators,"47,940"
Computer Numerically Controlled Tool Operators and Programmers,"50,200"
Computer Numerically Controlled Tool Programmers,"64,580"
Computer Occupations,"108,100"
"Computer Occupations, All Other","104,660"
Computer Programmers,"102,790"
"Computer Science Teachers, Postsecondary","98,610"
Computer Support Specialists,"64,410"
Computer Systems Analysts,"107,530"
Computer User Support Specialists,"61,580"
"Computer, Automated Teller, and Office Machine Repairers","47,120"
Concierges,"38,270"
Conservation Scientists,"69,810"
Conservation Scientists and Foresters,"69,310"
Construction and Building Inspectors,"70,130"
Construction and Extraction Occupations,"58,400"
Construction Equipment Operators,"58,910"
Construction Laborers,"46,350"
Construction Managers,"112,790"
Construction Trades Workers,"56,510"
Continuous Mining Machine Operators,"57,120"
Control and Valve Installers and Repairers,"61,620"
"Control and Valve Installers and Repairers, Except Mechanical Door","69,410"
Conveyor Operators and Tenders,"40,060"
Cooks,"32,080"
Cooks and Food Preparation Workers,"31,730"
"Cooks, All Other","35,120"
"Cooks, Fast Food","27,920"
"Cooks, Institution and Cafeteria","33,670"
"Cooks, Private Household","45,510"
"Cooks, Restaurant","33,940"
"Cooks, Short Order","30,770"
Cooling and Freezing Equipment Operators and Tenders,"44,240"
Correctional Officers and Jailers,"54,760"
Correspondence Clerks,"42,560"
Cost Estimators,"76,740"
Costume Attendants,"55,070"
Counselors,"58,400"
"Counselors, All Other","49,770"
"Counselors, Social Workers, and Other Community and Social Service Specialists","55,660"
Counter and Rental Clerks,"39,320"
Counter and Rental Clerks and Parts Salespersons,"39,290"
Couriers and Messengers,"36,250"
Court Reporters and Simultaneous Captioners,"70,290"
"Court, Municipal, and License Clerks","46,280"
Craft Artists,"49,180"
Crane and Tower Operators,"65,220"
Credit Analysts,"92,180"
"Credit Authorizers, Checkers, and Clerks","46,180"
Credit Counselors,"51,650"
Credit Counselors and Loan Officers,"81,640"
Crematory Operators,"43,120"
"Criminal Justice and Law Enforcement Teachers, Postsecondary","78,980"
Crossing Guards and Flaggers,"37,490"
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","45,310"
"Crushing, Grinding, Polishing, Mixing, and Blending Workers","44,630"
Curators,"67,490"
Customer Service Representatives,"41,190"
"Cutters and Trimmers, Hand","37,830"
"Cutting and Slicing Machine Setters, Operators, and Tenders","41,980"
Cutting Workers,"41,430"
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","42,240"
Dancers,*
Dancers and Choreographers,"54,050"
Data Entry and Information Processing Workers,"39,450"
Data Entry Keyers,"37,970"
Data Scientists,"115,240"
Database Administrators,"102,530"
Database and Network Administrators and Architects,"110,400"
Database Architects,"136,540"
Demonstrators and Product Promoters,"38,470"
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,"46,240"
Dental Assistants,"44,710"
Dental Hygienists,"84,860"
Dental Laboratory Technicians,"49,930"
Dentists,"180,900"
"Dentists, All Other Specialists","233,430"
"Dentists, General","172,290"
Dermatologists,"327,650"
"Derrick Operators, Oil and Gas","53,770"
"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas","57,210"
Designers,"56,450"
"Designers, All Other","76,430"
Desktop Publishers,"53,390"
Detectives and Criminal Investigators,"91,610"
Diagnostic Medical Sonographers,"84,410"
Diagnostic Related Technologists and Technicians,"74,700"
Dietetic Technicians,"36,370"
Dietitians and Nutritionists,"69,350"
Dining Room and Cafeteria Attendants and Bartender Helpers,"30,290"
"Directors, Religious Activities and Education","60,540"
"Disc Jockeys, Except Radio",*
Dishwashers,"29,560"
Dispatchers,"48,670"
"Dispatchers, Except Police, Fire, and Ambulance","48,350"
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","36,280"
Drafters,"63,300"
"Drafters, All Other","60,370"
"Drafters, Engineering Technicians, and Mapping Technicians","64,370"
Dredge Operators,"51,770"
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","45,350"
Driver/Sales Workers,"35,560"
Driver/Sales Workers and Truck Drivers,"48,240"
Drywall and Ceiling Tile Installers,"57,880"
"Drywall Installers, Ceiling Tile Installers, and Tapers","58,960"
"Earth Drillers, Except Oil and Gas","57,250"
"Economics Teachers, Postsecondary","122,750"
Economists,"128,180"
Editors,"84,820"
"Education Administrators, All Other","99,820"
"Education Administrators, Kindergarten through Secondary","106,690"
"Education Administrators, Postsecondary","115,180"
Education and Childcare Administrators,"103,370"
"Education and Childcare Administrators, Preschool and Daycare","57,610"
"Education and Library Science Teachers, Postsecondary","78,770"
"Education Teachers, Postsecondary","78,540"
Educational Instruction and Library Occupations,"63,240"
"Educational Instruction and Library Workers, All Other","52,250"
"Educational, Guidance, and Career Counselors and Advisors","64,200"
"Electric Motor, Power Tool, and Related Repairers","51,500"
Electrical and Electronic Engineering Technologists and Technicians,"70,810"
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers","59,500"
Electrical and Electronics Drafters,"68,640"
Electrical and Electronics Engineers,"115,680"
"Electrical and Electronics Installers and Repairers, Transportation Equipment","71,740"
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","66,650"
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","88,770"
Electrical Engineers,"114,050"
Electrical Power-Line Installers and Repairers,"82,770"
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","41,770"
"Electrical, Electronics, and Electromechanical Assemblers","41,890"
Electricians,"65,280"
Electro-Mechanical and Mechatronics Technologists and Technicians,"65,920"
