job_type,average_salary
Medical Equipment Preparers,"44,940"
Medical Equipment Repairers,"60,950"
Medical Records Specialists,"51,090"
Medical Scientists,"108,720"
"Medical Scientists, Except Epidemiologists","110,670"
Medical Secretaries and Administrative Assistants,"41,260"
Medical Transcriptionists,"37,090"
"Meeting, Convention, and Event Planners","58,750"
Mental Health and Substance Abuse Social Workers,"60,130"
Merchandise Displayers and Window Trimmers,"38,120"
"Metal Furnace Operators, Tenders, Pourers, and Casters","51,810"
Metal Workers and Plastic Workers,"47,020"
"Metal Workers and Plastic Workers, All Other","41,960"
Metal-Refining Furnace Operators and Tenders,"53,450"
"Meter Readers, Utilities","49,800"
Microbiologists,"88,950"
"Middle School Teachers, Except Special and Career/Technical Education","67,790"
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","49,200"
Millwrights,"61,750"
"Mining and Geological Engineers, Including Mining Safety Engineers","101,290"
Miscellaneous Agricultural Workers,"35,020"
Miscellaneous Assemblers and Fabricators,"40,250"
Miscellaneous Business Operations Specialists,"82,670"
Miscellaneous Communications Equipment Operators,"50,140"
Miscellaneous Community and Social Service Specialists,"48,680"
Miscellaneous Computer Occupations,"104,660"
Miscellaneous Construction and Related Workers,"48,620"
Miscellaneous Educational Instruction and Library Workers,"52,250"
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers","62,090"
Miscellaneous Engineers,"111,280"
"Miscellaneous Entertainers and Performers, Sports and Related Workers",*
Miscellaneous Entertainment Attendants and Related Workers,"28,980"
Miscellaneous Extraction Workers,"53,220"
Miscellaneous Financial Clerks,"49,710"
Miscellaneous Financial Specialists,"83,580"
"Miscellaneous First-Line Supervisors, Protective Service Workers","57,280"
Miscellaneous Food Preparation and Serving Related Workers,"31,990"
Miscellaneous Food Processing Workers,"38,090"
Miscellaneous Health Practitioners and Technical Workers,"64,310"
Miscellaneous Health Technologists and Technicians,"52,810"
Miscellaneous Healthcare Diagnosing or Treating Practitioners,"89,440"
Miscellaneous Healthcare Support Occupations,"41,280"
Miscellaneous Information and Record Clerks,"45,910"
"Miscellaneous Installation, Maintenance, and Repair Workers","45,910"
Miscellaneous Legal Support Workers,"66,390"
Miscellaneous Life Scientists,"100,370"
"Miscellaneous Life, Physical, and Social Science Technicians","60,070"
Miscellaneous Managers,"141,190"
Miscellaneous Material Moving Workers,"43,290"
Miscellaneous Mathematical Science Occupations,"82,160"
Miscellaneous Media and Communication Equipment Workers,"74,490"
Miscellaneous Media and Communication Workers,"76,830"
Miscellaneous Metal Workers and Plastic Workers,"43,110"
Miscellaneous Motor Vehicle Operators,"37,650"
Miscellaneous Office and Administrative Support Workers,"43,150"
Miscellaneous Personal Appearance Workers,"38,400"
Miscellaneous Personal Care and Service Workers,"33,580"
Miscellaneous Physical Scientists,"116,230"
Miscellaneous Plant and System Operators,"77,340"
Miscellaneous Postsecondary Teachers,"83,240"
Miscellaneous Production Workers,"39,640"
Miscellaneous Protective Service Workers,"36,670"
Miscellaneous Rail Transportation Workers,"46,780"
Miscellaneous Religious Workers,"45,420"
Miscellaneous Sales and Related Workers,"55,080"
"Miscellaneous Sales Representatives, Services","77,390"
Miscellaneous Social Scientists and Related Workers,"92,800"
Miscellaneous Teachers and Instructors,"66,450"
"Miscellaneous Textile, Apparel, and Furnishings Workers","42,030"
Miscellaneous Transportation Workers,"40,290"
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","36,780"
Miscellaneous Woodworkers,"36,870"
"Mixing and Blending Machine Setters, Operators, and Tenders","45,220"
"Mobile Heavy Equipment Mechanics, Except Engines","59,560"
"Model Makers and Patternmakers, Metal and Plastic","58,320"
"Model Makers and Patternmakers, Wood","50,580"
"Model Makers, Metal and Plastic","60,220"
"Model Makers, Wood","52,820"
Models,"77,310"
"Models, Demonstrators, and Product Promoters","40,230"
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic","39,830"
"Molders, Shapers, and Casters, Except Metal and Plastic","41,680"
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","39,690"
"Morticians, Undertakers, and Funeral Arrangers","58,430"
Motion Picture Projectionists,"35,710"
Motor Vehicle Operators,"47,110"
"Motor Vehicle Operators, All Other","37,650"
Motorboat Mechanics and Service Technicians,"50,280"
Motorboat Operators,"47,300"
Motorcycle Mechanics,"44,740"
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","42,040"
Museum Technicians and Conservators,"52,820"
Music Directors and Composers,"95,430"
Musical Instrument Repairers and Tuners,"43,120"
Natural Sciences Managers,"163,610"
Network and Computer Systems Administrators,"97,160"
Neurologists,"255,510"
New Accounts Clerks,"42,880"
"News Analysts, Reporters and Journalists","86,290"
"News Analysts, Reporters, and Journalists","86,290"
Nuclear Engineers,"124,540"
Nuclear Medicine Technologists,"89,610"
Nuclear Power Reactor Operators,"117,510"
Nuclear Technicians,"97,040"
Nurse Anesthetists,"205,770"
Nurse Midwives,"122,450"
Nurse Practitioners,"124,680"
Nursing Assistants,"36,220"
"Nursing Assistants, Orderlies, and Psychiatric Aides","36,270"
"Nursing Instructors and Teachers, Postsecondary","84,180"
Obstetricians and Gynecologists,"277,320"
Occupational Health and Safety Specialists,"82,110"
Occupational Health and Safety Specialists and Technicians,"78,750"
Occupational Health and Safety Technicians,"63,230"
Occupational Therapists,"92,800"
Occupational Therapy Aides,"43,090"
Occupational Therapy and Physical Therapist Assistants and Aides,"57,370"
Occupational Therapy Assistants,"66,280"
Occupational Therapy Assistants and Aides,"64,470"
Office and Administrative Support Occupations,"45,550"
"Office and Administrative Support Workers, All Other","43,150"
"Office Clerks, General","41,140"
"Office Machine Operators, Except Computer","38,300"
Operating Engineers and Other Construction Equipment Operators,"59,420"
Operations Research Analysts,"95,820"
Operations Specialties Managers,"148,190"
Ophthalmic Laboratory Technicians,"40,140"
Ophthalmic Medical Technicians,"42,480"
"Ophthalmologists, Except Pediatric","265,450"
"Opticians, Dispensing","44,890"
Optometrists,"133,100"
Oral and Maxillofacial Surgeons,"309,410"
Order Clerks,"40,540"
Orderlies,"36,070"
Orthodontists,"216,320"
"Orthopedic Surgeons, Except Pediatric","371,400"
Orthotists and Prosthetists,"78,240"
Other Construction and Related Workers,"56,990"
Other Educational Instruction and Library Occupations,"40,410"
Other Food Preparation and Serving Related Workers,"29,600"
Other Healthcare Practitioners and Technical Occupations,"64,580"
Other Healthcare Support Occupations,"42,070"
"Other Installation, Maintenance, and Repair Occupations","52,970"
Other Management Occupations,"113,420"
Other Office and Administrative Support Workers,"41,550"
Other Personal Care and Service Workers,"36,080"
Other Production Occupations,"44,260"
Other Protective Service Workers,"37,220"
Other Sales and Related Workers,"64,480"
Other Teachers and Instructors,"48,700"
Other Transportation Workers,"37,750"
Outdoor Power Equipment and Other Small Engine Mechanics,"42,590"
Packaging and Filling Machine Operators and Tenders,"39,060"
"Packers and Packagers, Hand","33,310"
Painters and Paperhangers,"49,350"
"Painters, Construction and Maintenance","49,350"
Painting Workers,"46,100"
"Painting, Coating, and Decorating Workers","41,770"
"Paper Goods Machine Setters, Operators, and Tenders","46,390"
Paperhangers,"49,030"
Paralegals and Legal Assistants,"62,840"
Paramedics,"53,560"
Parking Attendants,"31,230"
Parking Enforcement Workers,"44,670"
Parts Salespersons,"39,250"
Passenger Attendants,"36,230"
Passenger Vehicle Drivers,"42,420"
"Patternmakers, Metal and Plastic","55,470"
"Patternmakers, Wood","45,720"
"Paving, Surfacing, and Tamping Equipment Operators","52,730"
Payroll and Timekeeping Clerks,"52,300"
Pediatric Surgeons,"362,970"
"Pediatricians, General","203,240"
Personal Appearance Workers,"38,720"
Personal Care and Service Occupations,"36,210"
"Personal Care and Service Workers, All Other","33,580"
Personal Financial Advisors,"137,740"
Personal Service Managers,"75,250"
"Personal Service Managers, All Other","60,510"
Pest Control Workers,"42,210"
"Pesticide Handlers, Sprayers, and Applicators, Vegetation","42,560"
Petroleum Engineers,"142,800"
"Petroleum Pump System Operators, Refinery Operators, and Gaugers","84,140"
Pharmacists,"129,410"
Pharmacy Aides,"35,870"
Pharmacy Technicians,"40,260"
"Philosophy and Religion Teachers, Postsecondary","87,100"
Phlebotomists,"40,580"
Photographers,"50,210"
Photographic Process Workers and Processing Machine Operators,"42,750"
"Physical Sciences Teachers, Postsecondary","98,880"
Physical Scientists,"97,570"
"Physical Scientists, All Other","116,230"
Physical Therapist Aides,"33,210"
Physical Therapist Assistants,"64,510"
Physical Therapist Assistants and Aides,"54,980"
Physical Therapists,"97,960"
Physician Assistants,"125,270"
Physicians,"251,990"
"Physicians, All Other","238,700"
"Physicians, Pathologists","252,850"
Physicists,"150,130"
"Physics Teachers, Postsecondary","100,810"
Pile Driver Operators,"70,220"
Pipelayers,"51,230"
"Pipelayers, Plumbers, Pipefitters, and Steamfitters","64,110"
Plant and System Operators,"70,400"
"Plant and System Operators, All Other","60,070"
Plasterers and Stucco Masons,"55,650"
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic","40,290"
"Plumbers, Pipefitters, and Steamfitters","65,190"
Podiatrists,"157,970"
Police and Sheriff's Patrol Officers,"71,380"
Police Officers,"71,410"
"Political Science Teachers, Postsecondary","98,420"
Political Scientists,"126,140"
Postal Service Clerks,"56,400"
Postal Service Mail Carriers,"56,240"
"Postal Service Mail Sorters, Processors, and Processing Machine Operators","52,990"
Postal Service Workers,"55,520"
Postmasters and Mail Superintendents,"84,190"
Postsecondary Teachers,"96,130"
"Postsecondary Teachers, All Other","91,760"
"Pourers and Casters, Metal","46,600"
Power Distributors and Dispatchers,"101,360"
Power Plant Operators,"88,960"
"Power Plant Operators, Distributors, and Dispatchers","94,820"
Precision Instrument and Equipment Repairers,"59,300"
"Precision Instrument and Equipment Repairers, All Other","63,970"
Prepress Technicians and Workers,"44,880"
Preschool and Kindergarten Teachers,"44,540"
"Preschool Teachers, Except Special Education","38,640"
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers","65,580"
"Pressers, Textile, Garment, and Related Materials","30,650"
Print Binding and Finishing Workers,"38,850"
Printing Press Operators,"42,730"
Printing Workers,"42,280"
Private Detectives and Investigators,"59,400"
Probation Officers and Correctional Treatment Specialists,"64,920"
Procurement Clerks,"46,560"
Producers and Directors,"110,660"
Production Occupations,"45,370"
"Production Workers, All Other","38,860"
"Production, Planning, and Expediting Clerks","55,080"
Project Management Specialists,"101,610"
Proofreaders and Copy Markers,"48,770"
Property Appraisers and Assessors,"80,460"
"Property, Real Estate, and Community Association Managers","76,110"
Protective Service Occupations,"54,010"
"Protective Service Workers, All Other","43,270"
Psychiatric Aides,"38,620"
Psychiatric Technicians,"40,760"
Psychiatrists,"247,350"
Psychologists,"96,190"
"Psychologists, All Other","99,560"
"Psychology Teachers, Postsecondary","88,470"
Public Relations and Fundraising Managers,"142,610"
Public Relations Managers,"150,030"
Public Relations Specialists,"78,540"
Public Safety Telecommunicators,"49,370"
"Pump Operators, Except Wellhead Pumpers","59,150"
Pumping Station Operators,"62,620"
Purchasing Managers,"140,650"
Radiation Therapists,"98,340"
Radio and Telecommunications Equipment Installers and Repairers,"61,730"
"Radio, Cellular, and Tower Equipment Installers and Repairers","62,570"
Radiologic Technologists and Technicians,"70,240"
Radiologists,"329,080"
Rail Car Repairers,"61,960"
Rail Transportation Workers,"70,040"
"Rail Transportation Workers, All Other","46,780"
"Rail Yard Engineers, Dinkey Operators, and Hostlers","58,430"
Rail-Track Laying and Maintenance Equipment Operators,"63,840"
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers","64,810"
Railroad Conductors and Yardmasters,"69,190"
Real Estate Brokers,"90,930"
Real Estate Brokers and Sales Agents,"71,200"
Real Estate Sales Agents,"65,850"
Receptionists and Information Clerks,"34,600"
"Recreation and Fitness Studies Teachers, Postsecondary","82,020"
Recreation and Fitness Workers,"41,870"
Recreation Workers,"34,170"
Recreational Therapists,"56,310"
Recreational Vehicle Service Technicians,"47,320"
"Refractory Materials Repairers, Except Brickmasons","51,010"
Refuse and Recyclable Material Collectors,"45,560"
Registered Nurses,"89,010"
Rehabilitation Counselors,"46,020"
Reinforcing Iron and Rebar Workers,"57,780"
Religious Workers,"58,480"
"Religious Workers, All Other","45,420"
Reservation and Transportation Ticket Agents and Travel Clerks,"45,440"
Residential Advisors,"37,530"
Respiratory Therapists,"74,310"
Retail Sales Workers,"32,500"
Retail Salespersons,"34,730"
Riggers,"58,700"
"Rock Splitters, Quarry","47,010"
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","48,250"
"Roof Bolters, Mining","63,990"
Roofers,"51,910"
"Rotary Drill Operators, Oil and Gas","60,450"
"Roustabouts, Oil and Gas","45,750"
Sailors and Marine Oilers,"53,350"
Sales and Related Occupations,"50,370"
"Sales and Related Workers, All Other","56,440"
Sales Engineers,"125,460"
Sales Managers,"150,530"
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","77,390"
"Sales Representatives, Services","81,230"
"Sales Representatives, Wholesale and Manufacturing","83,030"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","76,890"
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","109,950"
"Sawing Machine Setters, Operators, and Tenders, Wood","37,450"
School Bus Monitors,"31,040"
School Psychologists,"87,550"
Secondary School Teachers,"69,330"
"Secondary School Teachers, Except Special and Career/Technical Education","69,480"
Secretaries and Administrative Assistants,"47,670"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","43,410"
"Securities, Commodities, and Financial Services Sales Agents","100,740"
Security and Fire Alarm Systems Installers,"54,280"
Security Guards,"36,700"
Security Guards and Gambling Surveillance Officers,"36,720"
Self-Enrichment Teachers,"50,320"
Semiconductor Processing Technicians,"48,370"
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","48,980"
Septic Tank Servicers and Sewer Pipe Cleaners,"47,580"
"Service Unit Operators, Oil and Gas","57,170"
Set and Exhibit Designers,"68,490"
"Sewers, Hand","33,440"
Sewing Machine Operators,"33,130"
Shampooers,"27,870"
Sheet Metal Workers,"61,300"
Ship and Boat Captains and Operators,"99,540"
Ship Engineers,"100,980"
"Shipping, Receiving, and Inventory Clerks","40,450"
Shoe and Leather Workers,"34,490"
Shoe and Leather Workers and Repairers,"34,600"
Shoe Machine Operators and Tenders,"34,160"
Shuttle Drivers and Chauffeurs,"35,000"
Signal and Track Switch Repairers,"77,370"
Skincare Specialists,"47,790"
Slaughterers and Meat Packers,"34,920"
Small Engine Mechanics,"45,560"
Social and Community Service Managers,"79,310"
Social and Human Service Assistants,"41,600"
Social Science Research Assistants,"57,760"
"Social Sciences Teachers, Postsecondary","94,480"
"Social Sciences Teachers, Postsecondary, All Other","89,350"
Social Scientists and Related Workers,"94,560"
"Social Scientists and Related Workers, All Other","94,560"
"Social Work Teachers, Postsecondary","75,330"
Social Workers,"59,440"
"Social Workers, All Other","64,360"
Sociologists,"101,310"
"Sociology Teachers, Postsecondary","90,200"
"Software and Web Developers, Programmers, and Testers","124,940"
Software Developers,"132,930"
Software Quality Assurance Analysts and Testers,"105,750"
Soil and Plant Scientists,"76,410"
Solar Photovoltaic Installers,"47,970"
Sound Engineering Technicians,"75,590"
Special Education Teachers,"70,110"
"Special Education Teachers, All Other","74,310"
"Special Education Teachers, Kindergarten and Elementary School","68,580"
"Special Education Teachers, Middle School","69,530"
"Special Education Teachers, Preschool","69,620"
"Special Education Teachers, Secondary School","71,290"
Special Effects Artists and Animators,"111,130"
Speech-Language Pathologists,"89,460"
Stationary Engineers and Boiler Operators,"72,570"
Statistical Assistants,"54,630"
Statisticians,"105,510"
Stockers and Order Fillers,"35,550"
Stonemasons,"56,100"
Structural Iron and Steel Workers,"64,800"
Structural Metal Fabricators and Fitters,"48,870"
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","56,230"
"Substitute Teachers, Short-Term","42,680"
Subway and Streetcar Operators,"75,880"
Supervisors of Building and Grounds Cleaning and Maintenance Workers,"50,980"
Supervisors of Construction and Extraction Workers,"77,650"
"Supervisors of Farming, Fishing, and Forestry Workers","58,820"
Supervisors of Food Preparation and Serving Workers,"43,330"
"Supervisors of Installation, Maintenance, and Repair Workers","76,020"
Supervisors of Office and Administrative Support Workers,"65,510"
Supervisors of Personal Care and Service Workers,"48,790"
Supervisors of Production Workers,"69,100"
Supervisors of Protective Service Workers,"81,500"
Supervisors of Sales Workers,"58,450"
Supervisors of Transportation and Material Moving Workers,"60,850"
Surface Mining Machine Operators and Earth Drillers,"54,850"
Surgeons,"337,980"
"Surgeons, All Other","347,870"
Surgical Assistants,"61,200"
Surgical Technologists,"57,500"
Survey Researchers,"66,440"
Surveying and Mapping Technicians,"51,570"
Surveyors,"71,060"
"Surveyors, Cartographers, and Photogrammetrists","71,980"
"Switchboard Operators, Including Answering Service","37,230"
"Tailors, Dressmakers, and Custom Sewers","37,230"
"Tailors, Dressmakers, and Sewers","36,590"
"Tank Car, Truck, and Ship Loaders","58,680"
Tapers,"65,880"
"Tax Examiners and Collectors, and Revenue Agents","64,410"
"Tax Examiners, Collectors and Preparers, and Revenue Agents","59,100"
Tax Preparers,"55,840"
Taxi Drivers,"32,710"
"Teachers and Instructors, All Other","66,450"
Teaching Assistants,"34,530"
"Teaching Assistants, Except Postsecondary","33,740"
"Teaching Assistants, Postsecondary","41,900"
Technical Writers,"86,760"
"Telecommunications Equipment Installers and Repairers, Except Line Installers","61,670"
Telecommunications Line Installers and Repairers,"64,280"
Telemarketers,"33,600"
Telephone Operators,"41,590"
"Television, Video, and Film Camera Operators and Editors","76,380"
Tellers,"36,800"
Terrazzo Workers and Finishers,"61,680"
Textile Bleaching and Dyeing Machine Operators and Tenders,"33,900"
"Textile Cutting Machine Setters, Operators, and Tenders","34,970"
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","35,710"
"Textile Machine Setters, Operators, and Tenders","34,910"
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","34,610"
"Textile, Apparel, and Furnishings Workers","33,170"
"Textile, Apparel, and Furnishings Workers, All Other","35,520"
Therapists,"88,800"
"Therapists, All Other","71,860"
Tile and Stone Setters,"53,680"
Timing Device Assemblers and Adjusters,"46,480"
Tire Builders,"50,600"
Tire Repairers and Changers,"34,970"
"Title Examiners, Abstractors, and Searchers","57,030"
Tool and Die Makers,"59,390"
"Tool Grinders, Filers, and Sharpeners","46,040"
Top Executives,"129,050"
Tour and Travel Guides,"37,790"
Traffic Technicians,"54,720"
Training and Development Managers,"132,100"
Training and Development Specialists,"69,870"
Transit and Railroad Police,"76,380"
Transportation and Material Moving Occupations,"43,930"
Transportation Inspectors,"79,770"
Transportation Security Screeners,"48,520"
Transportation Service Attendants,"33,500"
"Transportation Workers, All Other","40,290"
"Transportation, Storage, and Distribution Managers","108,910"
Travel Agents,"48,250"
Tree Trimmers and Pruners,"49,820"
Tutors,"44,820"
"Umpires, Referees, and Other Sports Officials","49,030"
Underground Mining Machine Operators,"59,340"
"Underground Mining Machine Operators, All Other","61,990"
Upholsterers,"41,900"
Urban and Regional Planners,"82,420"
"Ushers, Lobby Attendants, and Ticket Takers","28,700"
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","52,750"
Veterinarians,"129,110"
Veterinary Assistants and Laboratory Animal Caretakers,"34,490"
Veterinary Technologists and Technicians,"40,770"
Waiters and Waitresses,"33,020"
Watch and Clock Repairers,"49,580"
Water and Wastewater Treatment Plant and System Operators,"55,690"
Water Transportation Workers,"82,200"
Web and Digital Interface Designers,"101,740"
Web Developers,"87,580"
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","41,470"
"Welders, Cutters, Solderers, and Brazers","50,460"
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","46,110"
"Welding, Soldering, and Brazing Workers","50,160"
Wellhead Pumpers,"65,510"
Wind Turbine Service Technicians,"59,880"
Woodworkers,"39,750"
"Woodworkers, All Other","36,870"
"Woodworking Machine Setters, Operators, and Tenders","37,800"
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","38,060"
Word Processors and Typists,"44,990"
Writers and Authors,"91,560"
Writers and Editors,"87,070"
Zoologists and Wildlife Biologists,"72,610"
